CustomerID,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,jobs,Total_Trans_Ct,Total_Trans_Amt,Ocak_Trans_Ct,Subat_Trans_Ct,Mart_Trans_Ct,Nisan_Trans_Ct,Mayis_Trans_Ct,Ocak_Trans_Amt,Subat_Trans_Amt,Mart_Trans_Amt,Nisan_Trans_Amt,Mayis_Trans_Amt,credit_card_tran_ct,credit_card_tran_Amt,credit_card_tran_ct_1,credit_card_tran_ct_2,credit_card_tran_ct_3,credit_card_tran_ct_4,credit_card_tran_ct_5,credit_card_tran_Amt_1,credit_card_tran_Amt_2,credit_card_tran_Amt_3,credit_card_tran_Amt_4,credit_card_tran_Amt_5,ocak_to_subat_tran_ct_degisim,subat_to_mart_tran_ct_degisim,mart_to_nisan_tran_ct_degisim,nisan_to_mayis_tran_ct_degisim,ocak_to_subat_tran_amt_degisim,subat_to_mart_tran_amt_degisim,mart_to_nisan_tran_amt_degisim,nisan_to_mayis_tran_amt_degisim,credit_cart_tran_ct_degisim_1to2,credit_cart_tran_ct_degisim_2to3,credit_cart_tran_ct_degisim_3to4,credit_cart_tran_ct_degisim_4to5,credit_cart_tran_Amt_degisim_1to2,credit_cart_tran_Amt_degisim_2to3,credit_cart_tran_Amt_degisim_3to4,credit_cart_tran_Amt_degisim_4to5,Jan_hesap_bakiyesi,Feb_hesap_bakiyesi,Mar_hesap_bakiyesi,Apr_hesap_bakiyesi,May_hesap_bakiyesi,Jun_hesap_bakiyesi,Jul_hesap_bakiyesi
708134283,35,M,2,Uneducated,Married,Less than $40K,Blue,36,4,3,3,3131.0,629,2502.0,0.749,0.632,0.082502715,blue-collar,31,19650.94,1,7,8,5,10,27.03,4880.25,5168.03,4264.65,5310.98,68,2583.16,9,14,17,14,14,390.09,432.5,522.61,594.01,643.95,6.0,0.142857143,-0.375,1.0,179.5493896,0.058968291,-0.174801617,0.24534956,0.555555556,0.214285714,-0.176470588,0.0,0.108718501,0.208346821,0.136621955,0.084072659,318.8895352,920.0195352,1728.649535,2993.299535,3136.559535,3589.769535,4210.069535
708147108,26,M,0,Graduate,Divorced,Unknown,Blue,36,6,1,3,21084.0,2517,18567.0,0.763,0.543,0.054903908,engineer,65,67705.0,3,18,16,15,13,589.61,16554.62,16591.97,16288.27,17680.53,63,11575.94,7,22,13,7,14,871.74,3609.15,2388.52,2870.81,1835.72,5.0,-0.111111111,-0.0625,-0.133333333,27.0772375,0.002256168,-0.018304035,0.085476235,2.142857143,-0.409090909,-0.461538462,1.0,3.14016794,-0.338204286,0.201920017,-0.360556777,678.5474454,4203.227445,7018.237445,9329.627445,9206.037445,10523.20745,12377.83745
708177333,51,F,2,High School,Married,Less than $40K,Silver,36,5,3,0,11261.0,2485,8776.0,0.736,0.857,0.083615576,blue-collar,32,29041.4,2,9,9,8,4,338.32,8121.57,7397.18,6586.12,6598.21,60,9415.95,6,15,12,13,14,796.21,1837.11,2909.84,1262.43,2610.36,3.5,0.0,-0.111111111,-0.5,23.00558643,-0.089193346,-0.109644486,0.001835679,1.5,-0.2,0.083333333,0.076923077,1.307318421,0.583922574,-0.566151404,1.067726527,2543.204644,-328.4453561,-2504.805356,-3932.985356,-6031.195356,-8971.815356,-12005.73536
708242283,29,M,1,College,Single,$60K - $80K,Blue,36,5,3,2,5346.0,0,5346.0,0.928,0.818,0.273224093,self-employed,65,53806.61,5,11,14,15,20,915.31,12918.72,12644.85,12232.1,15095.63,63,14606.56,6,6,18,15,18,2402.03,1425.56,4145.81,3682.82,2950.34,1.2,0.272727273,0.071428571,0.333333333,13.11403787,-0.021199469,-0.032641747,0.234099623,0.0,2.0,-0.166666667,0.2,-0.406518653,1.90819748,-0.111676608,-0.198891067,-611.29,137.17,3829.18,4523.5,3953.93,5183.36,8654.3
708249708,48,F,1,Doctorate,Married,Less than $40K,Blue,39,3,3,3,4844.0,1576,3268.0,0.809,0.6,0.126127787,engineer,51,28610.68,6,8,8,15,14,812.19,6453.71,6182.33,6978.24,8184.21,70,6109.63,6,18,18,20,8,863.29,1570.92,1380.53,915.37,1379.52,0.333333333,0.0,0.875,-0.066666667,6.94605942,-0.042050232,0.128739488,0.172818648,2.0,0.0,0.111111111,-0.6,0.819689791,-0.121196496,-0.336943058,0.507062718,1097.764508,393.7145084,-118.3554916,-506.4554916,-1177.085492,-1108.375492,-1879.095492
708303108,50,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,0,1770.0,1706,64.0,0.626,0.774,0.441050847,services,77,31687.56,5,19,21,15,17,729.72,7623.18,8266.57,7106.62,7961.47,92,7806.6,10,14,27,16,25,689.88,860.77,2654.18,1046.18,2555.59,2.8,0.105263158,-0.285714286,0.133333333,9.44671929,0.084399162,-0.140318173,0.120289251,0.4,0.928571429,-0.407407407,0.5625,0.247709747,2.08349501,-0.605836831,1.442782313,1350.392107,252.2121068,-2290.537893,-3360.437893,-4369.167893,-5950.037893,-8193.657893
708337683,51,M,2,Uneducated,Single,$60K - $80K,Blue,40,4,2,2,21800.0,893,20907.0,0.445,0.676,0.019579404,self-employed,52,51619.86,6,12,17,10,7,1652.96,11514.67,14458.61,11973.67,12019.95,77,4268.31,6,21,14,18,18,123.94,1587.63,776.04,1053.91,726.79,1.0,0.416666667,-0.411764706,-0.3,5.966091133,0.255668638,-0.17186576,0.003865147,2.5,-0.333333333,0.285714286,0.0,11.80966597,-0.511195934,0.35806144,-0.310387035,-0.958713462,2407.491287,6157.701287,7927.311287,8955.441287,8770.621287,10127.26129
708373083,40,F,4,Unknown,Married,$40K - $60K,Blue,30,1,3,4,3356.0,2517,839.0,0.583,0.147,0.327190703,sales,39,48906.39,1,7,9,10,12,388.78,11676.36,11897.81,12810.93,12132.51,83,10980.52,6,25,13,14,25,719.08,4094.15,2643.16,1854.87,1669.26,6.0,0.285714286,0.111111111,0.2,29.03333505,0.018965671,0.076746897,-0.052956343,3.166666667,-0.48,0.076923077,0.785714286,4.693594593,-0.354405676,-0.298237715,-0.100066312,2510.17233,878.6723295,-1.457670488,-2163.70767,-3961.25767,-4763.64767,-5432.48767
708384033,45,F,3,Uneducated,Married,Less than $40K,Blue,35,3,3,3,2745.0,2463,282.0,0.643,0.345,0.363530419,blue-collar,40,30283.43,3,6,11,12,8,542.81,7062.44,8030.97,7383.98,7263.23,62,9978.91,5,25,14,10,8,606.95,2823.19,2792.01,1495.77,2260.99,1.0,0.833333333,0.090909091,-0.333333333,12.01088779,0.137138156,-0.080561875,-0.01635297,4.0,-0.44,-0.285714286,-0.2,3.651437515,-0.011044244,-0.464267678,0.511589349,1097.365002,-1265.074998,-4213.604998,-5419.904998,-7909.674998,-8740.744998,-11110.595
708414033,50,M,4,Graduate,Married,$40K - $60K,Blue,38,6,3,3,2845.0,1153,1692.0,0.836,0.941,0.180853427,admin.,61,43778.13,5,11,15,13,17,487.98,9877.07,10594.58,11399.78,11418.72,65,5145.28,2,14,18,11,20,204.31,836.38,1329.57,1302.3,1472.72,1.2,0.363636364,-0.133333333,0.307692308,19.24072708,0.072644013,0.076001125,0.001661436,6.0,0.285714286,-0.388888889,0.818181818,3.093681171,0.589672159,-0.020510391,0.130860785,442.7868014,1586.856801,1903.756801,2034.556801,1776.956801,2686.906801,2610.316801
